<built-in function id>	nl	mr	repair_head_nl	repair_head_sbn	repair_head_smatch	repair_mid_nl	repair_mid_sbn	repair_mid_smatch	repair_tail_nl	repair_tail_sbn	repair_tail_smatch	repair_interrug_nl	repair_interrug_sbn	repair_interrug_smatch
p65/d1574	Tom told me that he had been skydiving since he was sixteen. 	"male.n.02 Name ""Tom"" tell.v.01 Proposition >1 Agent -1 Time +1 Recipient +2 time.n.08 TPR now person.n.01 EQU speaker CONTINUATION <0 male.n.02 ANA -4 time.n.08 TPR now skydive.v.01 Theme -2 Time -1 Start +1 entity.n.01 male.n.02 ANA -8 time.n.08 TPR now old.a.01 Participant -3 AttributeOf -2 Time -1 Value +1 measure.n.02 Quantity 16 Unit +1 year.n.01"												
p82/d1623	This is a cargo ship, not a passenger ship. 	entity.n.01 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now cargo_ship.n.01 NEGATION <1 be.v.01 Theme -4 Time +1 Co-Theme +2 time.n.08 EQU now passenger_ship.n.01												
p06/d2022	He was living in London when the war broke out. 	"male.n.02 time.n.08 TPR now live.v.01 Theme -2 Time -1 Location +1 city.n.01 Name ""London"" war.n.01 break_out.v.01 TIN -3 Theme -1 Time +1 time.n.08 TPR now"												
p27/d0835	His office is located in the center of the town. 	male.n.02 office.n.01 User -1 time.n.08 EQU now located.a.01 Theme -2 Time -1 Location +1 center.n.01 PartOf +1 town.n.01												
p06/d2322	The old man freed the little fox from the trap. 	old.a.01 Value + man.n.01 Attribute -1 free.v.01 Agent -1 Time +1 Theme +3 Source +4 time.n.08 TPR now little.a.01 Value + fox.n.01 Attribute -1 trap.n.01												
p11/d2089	The boys set up a hockey rink on the frozen pond. 	boy.n.01 set_up.v.03 Agent -1 Time +1 Result +2 time.n.08 TPR now ice-hockey_rink.n.01 Location +2 frozen.a.01 AttributeOf +1 pond.n.01												
p43/d1418	Tom is planting a palm tree in his backyard. 	"male.n.02 Name ""Tom"" time.n.08 EQU now plant.v.01 Agent -2 Time -1 Theme +1 Destination +3 palm_tree.n.01 male.n.02 ANA -4 backyard.n.01 User -1"												
p72/d2478	Tom is too busy now to talk to you. 	"male.n.02 Name ""Tom"" time.n.08 EQU now busy.a.01 AttributeOf -2 Time -1 Time +1 time.n.08 EQU now NEGATION <1 POSSIBILITY <1 talk.v.01 Agent -4 Co-Agent +1 person.n.01 EQU hearer"												
p37/d2710	The diamond was discovered by a boy in 1873. 	diamond.n.01 time.n.08 TPR now discover.v.01 Theme -2 Time -1 Agent +1 Time +2 boy.n.01 time.n.08 YearOfCentury 1873												
p31/d3309	Tom threw a rock at Mary, but it didn't hit her. 	"male.n.02 Name ""Tom"" throw.v.01 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now rock.n.01 female.n.02 Name ""Mary"" CONTRAST <1 entity.n.01 ANA -2 NEGATION <1 time.n.08 TPR now hit.v.02 Theme -2 Time -1 Destination +1 female.n.02 ANA -4"												
p99/d2700	Iceland has an area of about 103,000 square kilometres. 	"country.n.02 Name ""Iceland"" have.v.02 Pivot -1 Time +1 Theme +2 time.n.08 EQU now area.n.06 Value +2 quantity.n.01 APX 103000 square_kilometer.n.01 Quantity -1"												
p65/d1749	A Japanese businessman bought the artwork for 200 million yen. 	"country.n.02 Name ""japan"" person.n.01 Source -1 Role +1 businessman.n.01 buy.v.01 Agent -2 Time +1 Theme +2 Value +4 time.n.08 TPR now artwork.n.01 quantity.n.01 EQU 200000000 yen.n.02 Quantity -1"												
p65/d0897	"In Esperanto, nouns end with ""o"". Plurals are formed with the addition of ""j"". "	esperanto.n.01 noun.n.01 end.v.01 Context -2 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now o.n.02 CONTINUATION <1 plural.n.01 time.n.08 EQU now form.v.02 Result -2 Time -1 Theme +1 addition.n.01 Theme +1 j.n.02												
p94/d1474	If a dog bites you, wash the wound with soap and water. 	CONDITION <1 dog.n.01 bite.v.01 Agent -1 Time +1 Patient +2 time.n.08 EQU now person.n.01 EQU hearer CONSEQUENCE <1 wash.v.02 Agent hearer Source +1 Instrument +3 wound.n.01 soap.n.01 entity.n.01 Sub -1 Sub +1 water.n.06												
p79/d2228	Tom grabbed his guitar and headed for the door. 	"male.n.02 Name ""Tom"" grab.v.02 Agent -1 Time +1 Theme +3 time.n.08 TPR now male.n.02 ANA -3 guitar.n.01 User -1 head.v.01 Theme -5 Time +1 Destination +2 time.n.08 TPR now door.n.01"												
p96/d2961	Everyone who worked on that project became a millionaire. 	NEGATION <1 person.n.01 work.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now project.n.01 NEGATION <1 become.v.02 Patient -4 Time +1 Result +2 time.n.08 TPR now person.n.01 Role +1 millionaire.n.01												
p50/d0040	The black llama is curiously looking at the white dogs 	black.a.01 llama.n.01 Colour -1 time.n.08 EQU now curiously.r.02 look.v.01 Agent -3 Time -2 Manner -1 Theme +2 white.a.01 dog.n.01 Colour -1												
p05/d2674	I want to keep a cat instead of a dog. 	person.n.01 EQU speaker want.v.01 Pivot -1 Time +1 Theme +2 time.n.08 EQU now keep.v.07 Agent -3 Theme +1 cat.n.01 NEGATION <1 entity.n.01 EQU -2 Theme +1 dog.n.01												
p60/d2141	There are a lot of tattoos on her body. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +5 time.n.08 EQU now entity.n.01 Quantity + EQU +1 tattoo.n.02 female.n.02 body.n.05 PartOf -1												
p49/d3121	Natasha was born in Russia, but she doesn’t speak Russian. 	"female.n.02 Name ""Natasha"" time.n.08 TPR now bear.v.02 Patient -2 Time -1 Location +1 country.n.02 Name ""Russia"" CONTRAST <1 female.n.02 ANA -4 NEGATION <1 time.n.08 EQU now speak.v.03 Agent -2 Time -1 Theme +1 russian.n.02"												
p06/d0312	Follow-up studies with increased stimuli and participants are needed. 	follow-up.n.02 study.n.01 Attribute -1 Part +3 increase.v.01 Patient +1 stimulus.n.01 entity.n.01 Sub -1 Sub +1 person.n.01 Role +1 participant.n.01 time.n.08 EQU now need.v.01 Theme -7 Time -1												
p64/d3304	Tom piled everything up in the center of the room. 	"male.n.02 Name ""Tom"" NEGATION <1 NEGATION <1 pile_up.v.01 Agent -1 Time +1 Theme +2 Location +3 time.n.08 TPR now CONJUNCTION <2 entity.n.01 CONJUNCTION <2 center.n.01 PartOf +1 room.n.01"												
p40/d0791	It took me three days to clean the room. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 3 day.n.01 Quantity -1 clean.v.01 Time -4 Agent -3 Duration -1 Source +1 room.n.01												
p94/d2931	Even though we tried hard, we couldn't beat Jane. 	"person.n.01 Sub speaker try.v.01 Agent -1 Time +1 Manner +2 time.n.08 TPR now hard.r.01 CONTRAST <1 person.n.01 Sub speaker NEGATION <1 POSSIBILITY <1 beat.v.01 Agent -1 Co-Agent +1 female.n.02 Name ""Jane"""												
p94/d3410	I am by no means satisfied with my present income. 	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now satisfied.a.01 Experiencer -2 Time -1 Stimulus +3 person.n.01 EQU speaker present.a.01 AttributeOf +1 income.n.01 User -2												
p88/d2105	There used to be a lot of frogs in this pond. 	entity.n.01 time.n.08 TPR now be.v.03 Time -1 EQU -2 Theme +1 Location +3 entity.n.01 Quantity + EQU +1 frog.n.01 pond.n.01												
p16/d2066	The Nazis wiped his name out of the history books. 	person.n.01 Role +1 nazi.n.01 wipe_out.v.05 Agent -2 Time +1 Theme +3 Source +5 time.n.08 TPR now male.n.02 name.n.01 User -1 history.n.02 book.n.01 Topic -1												
p02/d1703	We ran out of gas in the middle of the desert. 	person.n.01 Sub speaker run_out.v.01 Source -1 Time +1 Patient +2 Location +3 time.n.08 TPR now gas.n.03 middle.n.01 PartOf +1 desert.n.01												
p14/d2169	The plane took off from Narita at 10 a.m. 	"plane.n.01 take_off.v.01 Theme -1 Time +1 Source +2 Time +3 time.n.08 TPR now city.n.01 Name ""Narita"" time.n.08 ClockTime 10:00"												
p62/d1751	It took Jane twenty hours to fly to Japan. 	"time.n.08 TPR now female.n.02 Name ""Jane"" quantity.n.01 EQU 20 hour.n.01 Quantity -1 fly.v.01 Time -4 Theme -3 Duration -1 Destination +1 country.n.02 Name ""Japan"""												
p10/d1486	The pilot raced for Ferrari from 1995 to 1999. 	"person.n.01 Role +1 pilot.n.01 race.v.02 Agent -2 Time +1 Beneficiary +2 Start +3 Finish +4 time.n.08 TPR now company.n.01 Name ""Ferrari"" time.n.08 YearOfCentury 1995 time.n.08 YearOfCentury 1999"												
p34/d3378	There is a bottle of wine on the table. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +4 time.n.08 EQU now bottle.n.01 Theme +1 wine.n.01 table.n.01												
p95/d2926	He is carrying a parcel under his right arm. 	male.n.02 time.n.08 EQU now carry.v.01 Agent -2 Time -1 Theme +1 Location +2 parcel.n.01 location.n.01 SZN +3 male.n.02 ANA -5 right.a.01 AttributeOf +1 arm.n.01 PartOf -2												
p52/d1514	Tony carved his name in a tree with a knife. 	"male.n.02 Name ""Tony"" carve.v.02 Agent -1 Time +1 Theme +3 Destination +4 Instrument +5 time.n.08 TPR now male.n.02 ANA -3 name.n.01 Bearer -1 tree.n.01 knife.n.01"												
p71/d2966	If you are hungry, you can eat the bread. 	person.n.01 EQU hearer time.n.08 EQU now hungry.a.01 Experiencer -2 Time -1 CONSEQUENCE <1 person.n.01 EQU hearer POSSIBILITY <1 eat.v.01 Agent -1 Patient +1 bread.n.01												
p39/d1422	Her name was Linda, and she was a year younger than Tony. 	"female.n.02 name.n.01 Bearer -1 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now name.n.01 EQU ""Linda"" CONTINUATION <1 female.n.02 ANA -5 time.n.08 TPR now year.n.01 Quantity 1 young.a.01 AttributeOf -3 Time -2 Degree +1 more.r.01 Theme -4 Value -2 Co-Theme +1 male.n.02 Name ""Tony"""												
p81/d1740	Mix the rice with the eggs and the soy sauce. 	person.n.01 EQU hearer mix.v.01 Agent -1 Patient +1 Co-Patient +3 rice.n.01 egg.n.02 entity.n.01 Sub -1 Sub +1 soy_sauce.n.01												
p68/d0935	If you take this bus, you will reach the village. 	person.n.01 EQU hearer take.v.09 Agent -1 Time +1 Theme +2 time.n.08 EQU now bus.n.01 CONSEQUENCE <1 person.n.01 EQU hearer time.n.08 TSU now reach.v.01 Theme -2 Time -1 Destination +1 village.n.02												
p07/d1959	Tom hid under his bed, but his mother found him. 	"male.n.02 Name ""Tom"" hide.v.02 Agent -1 Time +1 Location +2 time.n.08 TPR now location.n.01 SZN +2 male.n.02 ANA -4 bed.n.01 User -1 CONTRAST <1 male.n.02 ANA -6 person.n.01 Role +1 mother.n.01 Of -2 find.v.03 Agent -2 Time +1 Theme +2 time.n.08 TPR now male.n.02 ANA -11"												
p55/d2236	The station is to the west of the hotel. 	station.n.01 be.v.03 Theme -1 Time +1 Location +2 time.n.08 EQU now west.n.08 Of +1 hotel.n.01												
p68/d1954	She used a damp rag to wipe off the dust. 	female.n.02 use.v.01 Agent -1 Time +1 Theme +3 Goal +4 time.n.08 TPR now damp.a.01 AttributeOf +1 rag.n.01 wipe_off.v.01 Agent -5 Theme +1 dust.n.01												
p60/d1629	More than a hundred homes have been damaged by the flood. 	quantity.n.01 MOR +1 quantity.n.01 EQU 100 home.n.01 Quantity -2 time.n.08 TPR now damage.v.01 Patient -2 Time -1 Causer +1 flood.n.01												
p01/d2630	Tom opened the freezer and got out the ice cream. 	"male.n.02 Name ""Tom"" open.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now freezer.n.01 get_out.v.02 Agent -4 Time +1 Theme +2 time.n.08 TPR now ice_cream.n.01"												
p67/d1777	That man died of lung cancer a week ago. 	man.n.01 die.v.01 Patient -1 Time +1 Causer +2 Time +4 time.n.08 TPR now lung_cancer.n.01 week.n.01 TAB now time.n.08 TAB -1												
p81/d1444	Tom put a bunch of letters on Mary's desk. 	"male.n.02 Name ""Tom"" put.v.01 Agent -1 Time +1 Theme +3 Destination +6 time.n.08 TPR now bunch.n.01 entity.n.01 Sub -1 Sub +1 letter.n.01 female.n.02 Name ""Mary"" desk.n.01 User -1"												
p10/d1684	She handed him the money that she owed him. 	female.n.02 hand.v.01 Agent -1 Time +1 Destination +2 Theme +3 time.n.08 TPR now male.n.02 money.n.01 female.n.02 ANA -5 owe.v.01 Theme -2 Agent -1 Time +1 Beneficiary +2 time.n.08 TPR now male.n.02 ANA -5												
p35/d0168	Even though she is dieting, the chocolate cake still tempts her. 	female.n.02 time.n.08 EQU now diet.v.01 Agent -2 Time -1 CONTRAST <1 chocolate_cake.n.01 tempt.v.01 Stimulus -1 Time +1 Experiencer +2 time.n.08 EQU now female.n.02 ANA -6												
p07/d0198	Even though she grew up in Japan, she speaks fluent English. 	"female.n.02 grow_up.v.01 Patient -1 Time +1 Location +2 time.n.08 TPR now country.n.02 Name ""Japan"" CONTRAST <1 female.n.02 ANA -4 speak.v.03 Agent -1 Time +1 Theme +3 time.n.08 EQU now fluent.a.02 AttributeOf +1 english.n.01"												
p34/d0334	Mérida is the capital of the state of Yucatán in Mexico. 	"city.n.01 Name ""Mérida"" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now state_capital.n.01 PartOf +1 state.n.01 EQU +1 PartOf +2 state.n.01 Name ""Yucatán"" country.n.02 Name ""Mexico"""												
p51/d1958	I was fined six thousand yen for a parking violation. 	person.n.01 EQU speaker time.n.08 TPR now fine.v.01 Recipient -2 Time -1 Asset +2 Theme +4 quantity.n.01 EQU 6000 yen.n.02 Quantity -1 park.v.01 Theme +1 violation.n.01												
p35/d2733	The house in which we lived was torn down. 	house.n.01 entity.n.01 Location -1 EQU +2 person.n.01 Sub speaker live.v.01 Theme -1 Time +1 time.n.08 TPR now time.n.08 TPR now tear_down.v.01 Patient -6 Time -1												
p80/d0854	He is a good boy, and he is very strong. 	male.n.02 be.v.01 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now good.a.07 AttributeOf +1 boy.n.01 CONTINUATION <1 male.n.02 ANA -5 time.n.08 EQU now very.r.01 strong.a.01 AttributeOf -3 Time -2 Degree -1												
p90/d1734	He must be fined if he breaks the law. 	male.n.02 NECESSITY <1 fine.v.01 Recipient -1 PRECONDITION <1 male.n.02 ANA -2 break.v.06 Agent -1 Time +1 Theme +2 time.n.08 EQU now law.n.01												
p70/d2278	The voyage from England to India used to take 6 months. 	"voyage.n.01 Source +1 Destination +2 country.n.02 Name ""England"" country.n.02 Name ""India"" time.n.08 TPR now take.v.02 Theme -4 Time -1 Value +2 quantity.n.01 EQU 6 month.n.01 Quantity -1"												
p04/d1656	He stood out because he was wearing a suit. 	male.n.02 stand_out.v.01 Theme -1 Time +1 time.n.08 TPR now EXPLANATION <1 male.n.02 ANA -3 time.n.08 TPR now wear.v.01 Agent -2 Time -1 Theme +1 suit.n.01												
p52/d2122	We are forty kilometers away from the capital city. 	person.n.01 Sub speaker time.n.08 EQU now quantity.n.01 EQU 40 kilometer.n.01 Quantity -1 away.r.05 Theme -4 Time -3 Value -1 Co-Theme +2 capital.n.03 city.n.01 Role -1												
p73/d1730	Cycling is good exercise. Moreover, it doesn't pollute the air. 	cycling.n.01 be.v.01 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now good.a.01 AttributeOf +1 exercise.n.01 CONTINUATION <1 entity.n.01 ANA -5 NEGATION <1 time.n.08 EQU now pollute.v.01 Causer -2 Time -1 Patient +1 air.n.01												
p19/d1455	Tom doesn't drink much beer, but he sure drinks a lot of wine. 	"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 EQU now drink.v.01 Agent -2 Time -1 Patient +1 beer.n.01 Quantity + CONTRAST <1 male.n.02 ANA -4 drink.v.01 Agent -1 Time +1 Patient +2 time.n.08 EQU now entity.n.01 Quantity + EQU +1 wine.n.01"												
p42/d2121	There are nine girls and three boys in the library. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +4 Location +7 time.n.08 EQU now quantity.n.01 EQU 9 girl.n.01 Quantity -1 entity.n.01 Sub -1 Sub +2 quantity.n.01 EQU 3 boy.n.01 Quantity -1 library.n.03												
p83/d1387	"What ship did the oil tanker ""New World"" crash into? "	"ship.n.01 Name ? time.n.08 TPR now oil_tanker.n.01 Name ""New World"" crash.v.03 Patient -3 Time -2 Theme -1"												
p33/d1182	In 1960, the company added polyacrylonitrile staple fibers to its range. 	time.n.08 YearOfCentury 1960 company.n.01 add.v.01 Time -2 Agent -1 Time +1 Theme +3 Destination +5 time.n.08 TPR now polyacrylonitrile.n.01 staple_fiber.n.01 MadeOf -1 entity.n.01 ANA -5 range.n.06 Creator -1												
p76/d2223	He who sleeps with dogs gets up with fleas. 	NEGATION <1 person.n.01 EQU +1 entity.n.01 sleep.v.01 Agent -1 Co-Agent +1 dog.n.01 NEGATION <1 get_up.v.02 Theme -3 Co-Theme +1 flea.n.01												
p55/d2741	We export a lot of automobiles to that country. 	person.n.01 Sub speaker export.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 Quantity + EQU +1 Recipient +2 automobile.n.01 country.n.02												
p13/d0042	The dog is jumping in the shade of some trees 	dog.n.01 time.n.08 EQU now jump.v.01 Theme -2 Time -1 Location +1 shade.n.01 Causer +1 tree.n.01												
p80/d2462	All of a sudden, my mother began to sing. 	all_of_a_sudden.r.01 person.n.01 EQU speaker person.n.01 Role +1 mother.n.01 Of -2 begin.v.01 Manner -4 Time +1 PartOf +2 time.n.08 TPR now sing.v.02 Agent -4												
p95/d2479	The white horse is taller than the black one. 	white.a.01 horse.n.01 Colour -1 time.n.08 EQU now tall.a.01 AttributeOf -2 Time -1 Degree +1 more.r.01 Theme -3 Co-Theme +2 black.a.01 horse.n.01 Colour -1												
p21/d1709	It was the first gold medal that she had won. 	entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now gold_medal.n.01 Order 1 female.n.02 win.v.01 Theme -2 Agent -1 Time +1 time.n.08 TPR now												
p31/d1454	It took me three days to read through this book. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 3 day.n.01 Quantity -1 read.v.01 Time -4 Experiencer -3 Duration -1 Stimulus +1 book.n.01												
p75/d2844	The pen I am writing with belongs to Tom. 	"pen.n.01 person.n.01 EQU speaker time.n.08 EQU now write.v.05 Instrument -3 Agent -2 Time -1 belong.v.01 Theme -4 Time +1 Pivot +2 time.n.08 EQU now male.n.02 Name ""Tom"""												
p50/d2517	He has a new car and an old car. 	male.n.02 have.v.04 Pivot -1 Time +1 Theme +4 time.n.08 EQU now new.a.01 Value + car.n.01 Attribute -1 entity.n.01 Sub -1 Sub +2 old.a.02 Value + car.n.01 Attribute -1												
p03/d0047	The men are not fist fighting in a ring 	man.n.01 NEGATION <1 time.n.08 EQU now fistfight.v.01 Agent -2 Time -1 Location +1 ring.n.07												
p22/d3342	This is my coat, and that is my father's. 	entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now person.n.01 EQU speaker coat.n.01 User -1 CONTINUATION <1 entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +5 time.n.08 EQU now person.n.01 EQU speaker person.n.01 Role +1 father.n.01 Of -2 coat.n.01 User -2												
p78/d3170	The peacock (Inachis io) is a beautiful and easily recognizable butterfly. 	NEGATION <1 peacock.n.01 inachis_io.n.01 EQU -1 NEGATION <1 be.v.01 Theme -2 Time +1 Co-Theme +5 time.n.08 EQU now beautiful.a.01 AttributeOf +3 easily.r.01 recognizable.a.01 AttributeOf +1 butterfly.n.01 Role -2												
p22/d1697	The ship capsized in the middle of the ocean. 	ship.n.01 capsize.v.01 Theme -1 Time +1 Location +2 time.n.08 TPR now middle.n.01 PartOf +1 ocean.n.01												
p59/d2149	He knows I don't like face to face meetings. 	male.n.02 know.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now like.v.02 Experiencer -2 Time -1 Stimulus +2 face_to_face.r.01 AttributeOf +1 meeting.n.02												
p69/d0896	The Titanic sank on her maiden voyage. She was a large ship. 	"vehicle.n.01 Name ""Titanic"" sink.v.04 Patient -1 Time +1 Context +3 time.n.08 TPR now entity.n.01 ANA -3 maiden_voyage.n.01 Theme -1 CONTINUATION <1 entity.n.01 ANA -5 be.v.01 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now large.a.01 Value + ship.n.01 Attribute -1"												
p02/d3068	She has been studying French for a few years. 	female.n.02 time.n.08 TPR now study.v.04 Agent -2 Time -1 Theme +1 Duration +2 french.n.01 year.n.01 Quantity -												
p69/d1768	I helped my mother even though I was busy. 	person.n.01 EQU speaker help.v.01 Agent -1 Time +1 Beneficiary +3 time.n.08 TPR now person.n.01 EQU speaker person.n.01 Role +1 mother.n.01 Of -2 CONTRAST <1 person.n.01 EQU speaker time.n.08 TPR now busy.a.01 AttributeOf -2 Time -1												
p44/d2262	He hit a home run in the first inning. 	male.n.02 hit.v.08 Agent -1 Time +1 Theme +2 Context +3 time.n.08 TPR now home_run.n.01 inning.n.01 Order 1												
p13/d0827	According to the papers, the man has finally confessed. 	according.a.02 Proposition >1 Source +1 paper.n.03 CONTINUATION <0 man.n.01 finally.r.01 confess.v.01 Agent -2 Manner -1 Time +1 time.n.08 TPR now												
